model,n_lags,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,sequence_length,hidden_size,dropout,epochs
XGBoost,5.0,300.0,2.0,0.08,0.9,0.9,1.0,,,,
LSTM,,,,0.01,,,,3.0,32.0,0.0,200.0
