coffee_type,mean_consumption,std_consumption,coef_variation,mean_abs_yoy_change,mean_abs_yoy_growth_pct,lag1_autocorr,sign_changes_in_trend
Robusta/Arabica,462789856.0,222137963.7649858,0.47999747808859883,22185680.689655174,4.968399375397873,0.9976991010747335,3
Robusta,46894838.0,17376654.57875813,0.3705451456887031,2926543.4482758623,10.502769151587664,0.9555982000126062,9
Arabica/Robusta,1090434962.0,304848545.23688895,0.2795660042647174,32963015.172413792,3.258599794667277,0.9975146091504337,5
Arabica,439439180.76666665,90285858.65893708,0.20545700659058222,9714639.72413793,2.397458699535,0.9979184534163819,3
