model,split,mae,rmse,mape,smape,r2
ARIMA,train,21004671.443046086,74237097.35133085,8.155538794520783,12.239465267420014,0.9623226007412193
ARIMA,test,12014528.618646082,18884524.985201593,1.7331501249862487,1.7053152957921658,0.9986831992004769
XGBoost,train,1203297.7625,1634115.6686070794,0.7258299022534516,0.7190766281329661,0.9999835544945734
XGBoost,test,48834689.2,67599966.30415422,5.187185797193946,5.1996184051057055,0.9831266657354698
LSTM,train,11883769.409090908,14589818.18390875,13.66036033888417,11.001926830295446,0.9986302775279389
LSTM,test,25701485.2,30617874.106460884,7.425306035353561,7.927569879237581,0.9965385502873163
TimeGPT,train,34383871.0,49736098.637682326,6.7364325572626615,6.372911107332756,0.9881307565343439
TimeGPT,test,58942206.4,72712230.17682093,8.98023301912326,8.536022643074602,0.980478064139044
